Country code,Country or area,Sort order,Major area,Code,Sort order,Region,Code,Sort order,Developed region,Least developed country,Sub-Saharan Africa,Small,Origin based on
214,Dominican Republic,193,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
218,Ecuador,223,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
818,Egypt,41,Africa,903,7,Northern Africa,912,39,No,No,No,No,E
222,El Salvador,211,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
226,Equatorial Guinea,36,Africa,903,7,Middle Africa,911,29,No,Yes,Yes,No,E
232,Eritrea,12,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,I
233,Estonia,142,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
231,Ethiopia,13,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
234,Faeroe Islands,143,Europe,908,127,Northern Europe,924,139,Yes,No,No,Yes,E
238,Falkland Islands (Malvinas),224,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,Yes,E
242,Fiji,243,Oceania,909,238,Melanesia,928,242,No,No,No,No,E
246,Finland,144,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
250,France,173,Europe,908,127,Western Europe,926,170,Yes,No,No,No,E
254,French Guiana,225,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,I
258,French Polynesia,259,Oceania,909,238,Polynesia,957,256,No,No,No,No,E
266,Gabon,37,Africa,903,7,Middle Africa,911,29,No,No,Yes,No,E
270,Gambia,58,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
268,Georgia,113,Asia,935,71,Western Asia,922,108,No,No,No,No,E
276,Germany,174,Europe,908,127,Western Europe,926,170,Yes,No,No,No,E
288,Ghana,59,Africa,903,7,Western Africa,914,53,No,No,Yes,No,E
292,Gibraltar,158,Europe,908,127,Southern Europe,925,153,Yes,No,No,Yes,E
300,Greece,159,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
304,Greenland,235,Northern America,905,232,Northern America,905,232,Yes,No,No,Yes,E
308,Grenada,194,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
312,Guadeloupe,195,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
316,Guam,249,Oceania,909,238,Micronesia,954,248,No,No,No,No,E
320,Guatemala,212,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
324,Guinea,60,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
624,Guinea-Bissau,61,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
328,Guyana,226,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
